raceId,driverId,lap,position,time,milliseconds
944,20,16,3,1:16.384,76384
944,20,17,3,1:16.799,76799
944,20,18,3,1:17.373,77373
944,20,19,3,1:16.737,76737
944,20,20,3,1:16.814,76814
944,20,21,3,1:16.646,76646
944,20,22,3,1:16.674,76674
944,20,23,3,1:16.792,76792
944,20,24,3,1:16.627,76627
944,20,25,3,1:16.677,76677
944,20,26,3,1:16.862,76862
944,20,27,3,1:17.276,77276
944,20,28,3,1:17.104,77104
944,20,29,3,1:16.999,76999
944,20,30,3,1:16.902,76902
944,20,31,3,1:16.919,76919
944,20,32,3,1:22.146,82146
944,20,33,4,1:32.821,92821
944,20,34,4,1:15.650,75650
944,20,35,4,1:15.614,75614
944,20,36,4,1:15.789,75789
944,20,37,4,1:16.246,76246
944,20,38,4,1:15.879,75879
944,20,39,3,1:16.470,76470
944,20,40,3,1:16.052,76052
944,20,41,3,1:15.766,75766
944,20,42,3,1:15.827,75827
944,20,43,3,1:15.774,75774
944,20,44,3,1:16.031,76031
944,20,45,3,1:16.124,76124
944,20,46,3,1:16.235,76235
944,20,47,3,1:21.737,81737
944,20,48,3,1:33.300,93300
944,20,49,3,1:15.294,75294
944,20,50,3,1:16.155,76155
944,20,51,3,1:15.769,75769
944,20,52,3,1:15.999,75999
944,20,53,3,1:15.567,75567
944,20,54,3,1:15.539,75539
944,20,55,3,1:15.539,75539
944,20,56,3,1:15.628,75628
944,20,57,3,1:15.046,75046
944,20,58,3,1:15.264,75264
944,20,59,3,1:15.328,75328
944,20,60,3,1:15.218,75218
944,20,61,3,1:15.284,75284
944,20,62,3,1:15.068,75068
944,20,63,3,1:15.400,75400
944,20,64,3,1:15.164,75164
944,20,65,3,1:15.398,75398
944,20,66,3,1:15.589,75589
944,20,67,3,1:15.524,75524
944,20,68,3,1:16.115,76115
944,20,69,3,1:15.738,75738
944,20,70,3,1:16.036,76036
944,20,71,3,1:15.464,75464
944,8,1,4,1:22.683,82683
944,8,2,4,1:17.488,77488
944,8,3,4,1:17.073,77073
944,8,4,4,1:16.751,76751
944,8,5,4,1:16.885,76885
944,8,6,4,1:16.751,76751
944,8,7,4,1:17.252,77252
944,8,8,4,1:16.950,76950
944,8,9,4,1:17.251,77251
944,8,10,4,1:17.376,77376
944,8,11,4,1:17.236,77236
944,8,12,4,1:22.395,82395
944,8,13,5,1:33.770,93770
944,8,14,4,1:16.896,76896
944,8,15,4,1:16.816,76816
944,8,16,4,1:17.115,77115
944,8,17,4,1:17.411,77411
944,8,18,4,1:17.185,77185
